Potenza Elettrica;Potenza Termica
1430.0982421875;1038.3025
1477.50703125;1038.2835
1449.5859375;1040.915
1476.296484375;1050.054
1481.7017578125;1041.0575
1477.50703125;1056.0675
1568.1017578125;1043.461
1582.8193359375;1075.913
1789.4630859375;1077.091
1775.10703125;1050.909
1775.6982421875;1080.872
1749.6198515625;1063.0595
1785.5859375;1089.5455
1791.582421875;1082.0975
1791.02109375;1037.2385
1845.3082734375;1069.415
1872.9057890625;1052.7805
1908.9047578125;1086.515
1857.2952421875;1054.3575
1857.5859375;1064.8835
1905.5859375;1092.158
1823.7012421875;1125.4935
1832.1017578125;1081.5845
1876.8298828125;1120.3635
1877.982421875;951.5865
1799.6982421875;737.1335
1801.179421875;702.4205
1832.71003125;714.7895
1893.6228515625;707.237
1891.7771484375;730.17
1837.50703125;718.6085
1856.70703125;761.52
1851.6193359375;746.985
1799.3806640625;738.397
1808.70703125;716.395
1856.9776640625;732.754
1822.8193359375;737.77
1751.10703125;774.2405
1760.70703125;766.0705
1829.3771484375;746.339
1826.4228515625;748.6855
1867.1859375;780.045
1891.506515625;717.592
1895.6982421875;787.0275
1858.782421875;757.074
1843.2298828125;771.4285
1859.97590625;786.201
1890.9012421875;764.7595
1875.90403125;738.606
1803.90703125;737.561
1809.2982421875;748.1725
1874.37890625;763.553
1838.4298828125;751.146
1862.6595703125;759.7055
2182.8223359375;740.639
2334.9052734375;724.508
2598.77296875;745.6645
2603.16703125;744.4485
2712.5259375;763.5815
2752.8898828125;751.678
2751.8859375;738.8625
2695.2087890625;739.005
2893.0059375;707.0945
3144.5259375;697.699
3245.3698828125;724.793
3185.8059375;702.6105
3364.3659375;700.663
3223.2898828125;656.9535
3261.6459375;700.3305
2811.4059375;1013.1655
2685.6898828125;1053.056
2710.52484375;1001.794
2745.2098828125;1016.12
2692.28484375;1017.944
2774.0098828125;1025.2115
2932.3287890625;1022.0005
2955.4059375;1029.4105
2904.5259375;1031.8425
3383.6098828125;1016.8705
3582.2859375;1019.8155
3583.2459375;1014.3435
3604.44703125;1002.231
3673.56703125;1033.923
3510.36703125;1027.0545
3486.36703125;986.1855
3342.3230859375;1021.44
3679.32703125;1034.664
3871.408125;1017.2315
3857.9241796875;1018.6185
3728.28703125;1026.1615
3683.0859375;1017.9915
3723.48703125;1062.1095
3605.40703125;1070.745
3243.4059375;1048.686
3005.3259375;1070.8115
2962.1698828125;1030.6645
2959.2087890625;1047.7645
2949.6459375;1067.8665
3081.1659375;1061.7485
3199.2087890625;1067.0115
3153.1659375;1104.128
3211.7698828125;1062.5845
3535.2830859375;1078.022
3607.2898828125;1067.572
3359.5659375;1023.5585
3061.9659375;1042.663
3060.12703125;1058.2335
3029.3698828125;1020.946
2938.1630859375;1060.428
2853.72703125;1055.6495
3212.76703125;1074.697
3208.9641796875;1085.527
3076.4098828125;1042.9575
3203.0859375;1250.7985
3106.20703125;1295.4485
3147.4059375;1314.914
2927.5287890625;1336.878
2893.9659375;1301.7375
2933.3698828125;1326.903
2895.8487890625;1373.4815
2934.20484375;1224.8065
2974.6498828125;1079.846
3017.72484375;1095.464
3046.6498828125;1114.407
3012.0087890625;1117.2285
2947.7259375;1123.1375
2991.8487890625;1156.6345
2941.88484375;1212.8745
2815.2898828125;1143.9995
2850.7287890625;1156.0075
2974.52484375;1185.524
3062.9698828125;1224.2745
2958.2859375;1210.9175
2845.9287890625;1232.587
2784.5259375;1248.509
2749.9287890625;1260.3365
2710.5687890625;1252.6035
2842.1259375;1245.621
2928.4887890625;1273.456
2989.0059375;1227.9605
2953.4487890625;1218.3275
2937.1659375;1272.107
3054.2487890625;1266.464
3118.6059375;1272.088
3130.0887890625;1231.7415
3117.6898828125;1237.2135
3197.3259375;1256.6885
3315.3687890625;1214.3755
3285.6459375;1226.488
3131.0859375;1228.217
3149.2887890625;1219.7905
3029.3259375;1202.738
3143.5287890625;1149.975
3197.3698828125;1170.4855
3175.2459375;1163.5695
3091.7259375;1142.3275
3110.8887890625;1122.254
2936.2059375;1178.019
3135.9298828125;1135.7535
3348.0459375;1104.8405
3457.4859375;1081.9645
3723.4498828125;1076.3595
3734.0030859375;1028.717
3441.2098828125;1171.9105
3010.1259375;1325.231
3028.3287890625;1312.2065
2868.0087890625;1298.289
2903.5659375;1262.4645
2977.4487890625;1237.261
2951.5659375;1280.6285
2955.3687890625;1348.7435
2929.4859375;1112.6495
3086.8887890625;1085.9545
3084.0459375;1108.5645
3124.3287890625;1101.9525
3148.3659375;1040.155
3115.6887890625;1014.619
3055.2898828125;1045.741
2986.04484375;1019.464
2982.3298828125;1030.9495
2869.9287890625;1014.4575
2893.0059375;1020.4805
2921.7687890625;1024.252
2984.2059375;1029.876
3047.5659375;1037.1815
3042.7287890625;1084.5295
3084.0459375;1118.7675
3050.4087890625;1145.7095
3027.4498828125;1054.9655
3058.04484375;1052.106
3187.6887890625;1038.3595
3210.7659375;1056.7135
3198.2487890625;1020.471
3261.6898828125;1028.242
3308.60484375;1044.7435
3289.5298828125;1043.613
3205.88484375;1007.2755
3147.4498828125;1046.463
3152.1687890625;1021.5635
3157.88484375;1044.278
3178.1698828125;1008.463
3147.3687890625;1010.838
3058.1259375;1048.1255
2991.8487890625;1042.5965
2982.20484375;1031.624
3044.7298828125;1061.72
3004.3287890625;1075.5615
3051.4059375;1114.2455
3130.1259375;1116.0505
3265.4487890625;1284.1815
3310.6059375;1307.7605
3227.0487890625;1336.46
3186.7659375;1328.518
3159.8487890625;1346.8815
3107.1298828125;1381.414
3002.36484375;1399.7015
3080.1687890625;1376.3125
3002.4459375;1069.3675
2956.3287890625;1092.937
2969.7687890625;1138.043
2934.2859375;1162.7905
2973.6087890625;1195.214
3649.5298828125;1241.5455
3787.7259375;1243.9015
3769.4859375;1248.471
4086.36703125;1258.3985
4023.8859375;1263.4905
4142.04703125;1243.55
3947.0859375;1244.7755
3663.96703125;1222.3175
3509.3698828125;1255.824
3503.5659375;1209.825
3637.0059375;1224.284
3607.2898828125;1274.1495
3494.9259375;1266.1885
3537.1659375;1252.3185
3524.7298828125;1281.3315
