Latitude (decimal degrees): 41.273
Longitude (decimal degrees): 14.909
Elevation (m): 450.0
Irradiance Time Offset (h): 0.1713
month,year
1,2006
2,2006
3,2006
4,2020
5,2017
6,2008
7,2010
8,2020
9,2005
10,2013
11,2015
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,7.11,92.85,0.0,-0.0,0.0,334.56,3.28,215.0,91234.0
20060101:0100,7.45,93.38,0.0,-0.0,0.0,337.43,3.56,212.0,91187.0
20060101:0200,7.79,93.92,0.0,-0.0,0.0,340.29,3.84,213.0,91120.0
20060101:0300,8.13,94.46,0.0,-0.0,0.0,343.16,4.12,214.0,91035.0
20060101:0400,8.47,94.99,0.0,-0.0,0.0,346.03,4.4,216.0,90988.0
20060101:0500,8.8,95.53,0.0,-0.0,0.0,348.89,4.69,218.0,90950.0
20060101:0600,9.14,96.06,0.0,-0.0,0.0,351.76,4.97,222.0,90931.0
20060101:0700,9.48,96.6,33.0,0.0,33.0,354.63,5.25,220.0,90931.0
20060101:0800,9.5,92.45,80.0,4.08,79.0,349.3,5.93,219.0,90931.0
20060101:0900,9.63,92.45,30.0,0.0,30.0,344.65,5.79,218.0,90940.0
20060101:1000,9.7,95.85,37.0,0.0,37.0,347.75,5.79,216.0,90931.0
20060101:1100,9.89,95.85,38.0,0.0,38.0,342.55,5.38,214.0,90845.0
20060101:1200,9.8,92.45,58.0,0.0,58.0,341.55,5.24,212.0,90760.0
20060101:1300,10.02,92.5,194.0,117.75,155.0,334.4,5.79,214.0,90722.0
20060101:1400,9.89,92.45,109.0,78.25,92.0,341.75,6.83,216.0,90665.0
20060101:1500,9.72,92.45,27.0,56.41,23.0,337.1,6.41,218.0,90656.0
20060101:1600,9.42,92.45,0.0,-0.0,0.0,341.55,6.21,219.0,90637.0
20060101:1700,9.43,92.45,0.0,-0.0,0.0,346.8,6.34,221.0,90618.0
20060101:1800,9.37,92.45,0.0,-0.0,0.0,350.65,6.34,221.0,90599.0
20060101:1900,9.39,92.45,0.0,-0.0,0.0,349.5,6.41,217.0,90523.0
20060101:2000,9.21,89.15,0.0,-0.0,0.0,342.15,6.0,216.0,90485.0
20060101:2100,9.08,89.15,0.0,-0.0,0.0,347.4,5.31,214.0,90457.0
20060101:2200,8.8,89.1,0.0,-0.0,0.0,345.05,4.97,219.0,90447.0
20060101:2300,8.28,85.9,0.0,-0.0,0.0,339.45,4.41,230.0,90466.0
20060102:0000,7.41,92.35,0.0,-0.0,0.0,331.5,4.0,227.0,90485.0
20060102:0100,6.8,95.8,0.0,-0.0,0.0,329.1,3.66,219.0,90514.0
20060102:0200,6.6,92.35,0.0,-0.0,0.0,325.9,3.72,219.0,90523.0
20060102:0300,6.19,95.8,0.0,-0.0,0.0,302.85,3.86,223.0,90504.0
20060102:0400,5.61,95.75,0.0,-0.0,0.0,286.05,3.86,226.0,90542.0
20060102:0500,5.06,95.75,0.0,-0.0,0.0,275.2,3.52,224.0,90580.0
